JoinField,JB Pritzker,Total Voters
MCHENRY:MCH 10,107,107
MCHENRY:MCH 11,67,67
MCHENRY:MCH 12,65,65
MCHENRY:MCH 13,111,111
MCHENRY:MCH 14,85,85
MCHENRY:MCH 15,85,85
MCHENRY:MCH 16,69,69
MCHENRY:MCH 17,57,57
MCHENRY:MCH 18,70,70
MCHENRY:MCH 19,54,54
MCHENRY:MCH 2,68,68
MCHENRY:MCH 20,75,75
MCHENRY:MCH 21,61,61
MCHENRY:MCH 22,98,98
MCHENRY:MCH 23,124,124
MCHENRY:MCH 24,90,90
MCHENRY:MCH 25,105,105
MCHENRY:MCH 26,136,136
MCHENRY:MCH 27,59,59
MCHENRY:MCH 28,97,97
MCHENRY:MCH 29,47,47
MCHENRY:MCH 3,83,83
MCHENRY:MCH 30,64,64
MCHENRY:MCH 31,45,45
MCHENRY:MCH 32,83,83
MCHENRY:MCH 33,95,95
MCHENRY:MCH 34,63,63
MCHENRY:MCH 4,121,121
MCHENRY:MCH 5,79,79
MCHENRY:MCH 6,70,70
MCHENRY:MCH 7,87,87
MCHENRY:MCH 8,110,110
MCHENRY:MCH 9,94,94
MCHENRY:NUN 1,106,106
MCHENRY:NUN 10,119,119
MCHENRY:NUN 11,189,189
MCHENRY:NUN 12,149,149
MCHENRY:NUN 13,116,116
MCHENRY:NUN 14,117,117
MCHENRY:NUN 15,98,98
MCHENRY:NUN 16,97,97
MCHENRY:NUN 17,135,135
MCHENRY:NUN 18,100,100
MCHENRY:NUN 19,121,121
MCHENRY:NUN 2,115,115
MCHENRY:NUN 20,101,101
MCHENRY:NUN 21,131,131
MCHENRY:NUN 22,115,115
MCHENRY:NUN 23,72,72
MCHENRY:NUN 24,70,70
MCHENRY:NUN 25,52,52
MCHENRY:NUN 26,38,38
MCHENRY:NUN 27,84,84
MCHENRY:NUN 28,83,83
MCHENRY:NUN 29,103,103
MCHENRY:NUN 3,135,135
MCHENRY:NUN 4,89,89
MCHENRY:NUN 5,89,89
MCHENRY:NUN 6,78,78
MCHENRY:NUN 7,125,125
MCHENRY:NUN 8,90,90
MCHENRY:NUN 9,120,120
MCHENRY:RIC 1,122,122
MCHENRY:RIC 2,92,92
MCHENRY:RIC 3,85,85
MCHENRY:RIC 4,89,89
MCHENRY:RIC 5,55,55
MCHENRY:RIC 6,75,75
MCHENRY:RIL 1,80,80
MCHENRY:RIL 2,97,97
MCHENRY:SEN 1,76,76
MCHENRY:SEN 2,73,73
MCHENRY:SEN 3,83,83
,24271,24271
