JoinField,JoinField_alt,Ward/Township,Precinct,Toni Preckwinkle,Brendan Reilly,Total Voters
CITY OF CHICAGO:WARD 03 PRECINCT 14,CITY OF CHICAGO:WARD 03 PRECINCT 14,3,14,415,121,536
CITY OF CHICAGO:WARD 03 PRECINCT 15,CITY OF CHICAGO:WARD 03 PRECINCT 15,3,15,304,71,375
CITY OF CHICAGO:WARD 03 PRECINCT 16,CITY OF CHICAGO:WARD 03 PRECINCT 16,3,16,206,43,249
CITY OF CHICAGO:WARD 03 PRECINCT 17,CITY OF CHICAGO:WARD 03 PRECINCT 17,3,17,82,26,108
CITY OF CHICAGO:WARD 03 PRECINCT 18,CITY OF CHICAGO:WARD 03 PRECINCT 18,3,18,75,21,96
CITY OF CHICAGO:WARD 03 PRECINCT 19,CITY OF CHICAGO:WARD 03 PRECINCT 19,3,19,340,205,545
CITY OF CHICAGO:WARD 03 PRECINCT 20,CITY OF CHICAGO:WARD 03 PRECINCT 20,3,20,413,70,483
CITY OF CHICAGO:WARD 03 PRECINCT 21,CITY OF CHICAGO:WARD 03 PRECINCT 21,3,21,277,77,354
CITY OF CHICAGO:WARD 03 PRECINCT 22,CITY OF CHICAGO:WARD 03 PRECINCT 22,3,22,239,63,302
CITY OF CHICAGO:WARD 03 PRECINCT 23,CITY OF CHICAGO:WARD 03 PRECINCT 23,3,23,151,47,198
CITY OF CHICAGO:WARD 03 PRECINCT 24,CITY OF CHICAGO:WARD 03 PRECINCT 24,3,24,66,9,75
CITY OF CHICAGO:WARD 03 PRECINCT 25,CITY OF CHICAGO:WARD 03 PRECINCT 25,3,25,295,202,497
CITY OF CHICAGO:WARD 03 PRECINCT 26,CITY OF CHICAGO:WARD 03 PRECINCT 26,3,26,143,44,187
CITY OF CHICAGO:WARD 03 PRECINCT 27,CITY OF CHICAGO:WARD 03 PRECINCT 27,3,27,266,150,416
CITY OF CHICAGO:WARD 04 PRECINCT 01,CITY OF CHICAGO:WARD 04 PRECINCT 01,4,1,434,57,491
CITY OF CHICAGO:WARD 04 PRECINCT 02,CITY OF CHICAGO:WARD 04 PRECINCT 02,4,2,203,29,232
CITY OF CHICAGO:WARD 04 PRECINCT 03,CITY OF CHICAGO:WARD 04 PRECINCT 03,4,3,341,49,390
CITY OF CHICAGO:WARD 04 PRECINCT 04,CITY OF CHICAGO:WARD 04 PRECINCT 04,4,4,380,68,448
CITY OF CHICAGO:WARD 04 PRECINCT 05,CITY OF CHICAGO:WARD 04 PRECINCT 05,4,5,159,26,185
CITY OF CHICAGO:WARD 04 PRECINCT 06,CITY OF CHICAGO:WARD 04 PRECINCT 06,4,6,261,39,300
CITY OF CHICAGO:WARD 04 PRECINCT 07,CITY OF CHICAGO:WARD 04 PRECINCT 07,4,7,218,40,258
CITY OF CHICAGO:WARD 04 PRECINCT 08,CITY OF CHICAGO:WARD 04 PRECINCT 08,4,8,314,43,357
CITY OF CHICAGO:WARD 04 PRECINCT 09,CITY OF CHICAGO:WARD 04 PRECINCT 09,4,9,312,50,362
CITY OF CHICAGO:WARD 04 PRECINCT 10,CITY OF CHICAGO:WARD 04 PRECINCT 10,4,10,280,57,337
CITY OF CHICAGO:WARD 04 PRECINCT 11,CITY OF CHICAGO:WARD 04 PRECINCT 11,4,11,384,60,444
CITY OF CHICAGO:WARD 04 PRECINCT 12,CITY OF CHICAGO:WARD 04 PRECINCT 12,4,12,250,39,289
CITY OF CHICAGO:WARD 04 PRECINCT 13,CITY OF CHICAGO:WARD 04 PRECINCT 13,4,13,234,50,284
CITY OF CHICAGO:WARD 04 PRECINCT 14,CITY OF CHICAGO:WARD 04 PRECINCT 14,4,14,238,52,290
CITY OF CHICAGO:WARD 04 PRECINCT 15,CITY OF CHICAGO:WARD 04 PRECINCT 15,4,15,232,41,273
CITY OF CHICAGO:WARD 04 PRECINCT 16,CITY OF CHICAGO:WARD 04 PRECINCT 16,4,16,290,45,335
CITY OF CHICAGO:WARD 04 PRECINCT 17,CITY OF CHICAGO:WARD 04 PRECINCT 17,4,17,331,79,410
CITY OF CHICAGO:WARD 04 PRECINCT 18,CITY OF CHICAGO:WARD 04 PRECINCT 18,4,18,92,20,112
CITY OF CHICAGO:WARD 04 PRECINCT 19,CITY OF CHICAGO:WARD 04 PRECINCT 19,4,19,284,74,358
CITY OF CHICAGO:WARD 04 PRECINCT 20,CITY OF CHICAGO:WARD 04 PRECINCT 20,4,20,322,60,382
CITY OF CHICAGO:WARD 04 PRECINCT 21,CITY OF CHICAGO:WARD 04 PRECINCT 21,4,21,245,37,282
CITY OF CHICAGO:WARD 04 PRECINCT 22,CITY OF CHICAGO:WARD 04 PRECINCT 22,4,22,139,35,174
CITY OF CHICAGO:WARD 04 PRECINCT 23,CITY OF CHICAGO:WARD 04 PRECINCT 23,4,23,168,37,205
CITY OF CHICAGO:WARD 04 PRECINCT 24,CITY OF CHICAGO:WARD 04 PRECINCT 24,4,24,451,66,517
CITY OF CHICAGO:WARD 04 PRECINCT 25,CITY OF CHICAGO:WARD 04 PRECINCT 25,4,25,431,170,601
CITY OF CHICAGO:WARD 04 PRECINCT 26,CITY OF CHICAGO:WARD 04 PRECINCT 26,4,26,369,180,549
CITY OF CHICAGO:WARD 04 PRECINCT 27,CITY OF CHICAGO:WARD 04 PRECINCT 27,4,27,330,85,415
CITY OF CHICAGO:WARD 04 PRECINCT 28,CITY OF CHICAGO:WARD 04 PRECINCT 28,4,28,433,157,590
CITY OF CHICAGO:WARD 05 PRECINCT 01,CITY OF CHICAGO:WARD 05 PRECINCT 01,5,1,352,43,395
CITY OF CHICAGO:WARD 05 PRECINCT 02,CITY OF CHICAGO:WARD 05 PRECINCT 02,5,2,451,78,529
CITY OF CHICAGO:WARD 05 PRECINCT 03,CITY OF CHICAGO:WARD 05 PRECINCT 03,5,3,392,66,458
CITY OF CHICAGO:WARD 05 PRECINCT 04,CITY OF CHICAGO:WARD 05 PRECINCT 04,5,4,294,48,342
CITY OF CHICAGO:WARD 05 PRECINCT 05,CITY OF CHICAGO:WARD 05 PRECINCT 05,5,5,167,28,195
CITY OF CHICAGO:WARD 05 PRECINCT 06,CITY OF CHICAGO:WARD 05 PRECINCT 06,5,6,157,28,185
CITY OF CHICAGO:WARD 05 PRECINCT 07,CITY OF CHICAGO:WARD 05 PRECINCT 07,5,7,66,7,73
CITY OF CHICAGO:WARD 05 PRECINCT 08,CITY OF CHICAGO:WARD 05 PRECINCT 08,5,8,111,23,134
CITY OF CHICAGO:WARD 05 PRECINCT 09,CITY OF CHICAGO:WARD 05 PRECINCT 09,5,9,102,19,121
CITY OF CHICAGO:WARD 05 PRECINCT 10,CITY OF CHICAGO:WARD 05 PRECINCT 10,5,10,147,34,181
CITY OF CHICAGO:WARD 05 PRECINCT 11,CITY OF CHICAGO:WARD 05 PRECINCT 11,5,11,189,41,230
CITY OF CHICAGO:WARD 05 PRECINCT 12,CITY OF CHICAGO:WARD 05 PRECINCT 12,5,12,498,75,573
CITY OF CHICAGO:WARD 05 PRECINCT 13,CITY OF CHICAGO:WARD 05 PRECINCT 13,5,13,146,25,171
CITY OF CHICAGO:WARD 05 PRECINCT 14,CITY OF CHICAGO:WARD 05 PRECINCT 14,5,14,188,29,217
CITY OF CHICAGO:WARD 05 PRECINCT 15,CITY OF CHICAGO:WARD 05 PRECINCT 15,5,15,588,87,675
CITY OF CHICAGO:WARD 05 PRECINCT 16,CITY OF CHICAGO:WARD 05 PRECINCT 16,5,16,383,48,431
CITY OF CHICAGO:WARD 05 PRECINCT 17,CITY OF CHICAGO:WARD 05 PRECINCT 17,5,17,294,40,334
CITY OF CHICAGO:WARD 05 PRECINCT 18,CITY OF CHICAGO:WARD 05 PRECINCT 18,5,18,596,125,721
CITY OF CHICAGO:WARD 05 PRECINCT 19,CITY OF CHICAGO:WARD 05 PRECINCT 19,5,19,302,60,362
CITY OF CHICAGO:WARD 05 PRECINCT 20,CITY OF CHICAGO:WARD 05 PRECINCT 20,5,20,423,74,497
CITY OF CHICAGO:WARD 05 PRECINCT 21,CITY OF CHICAGO:WARD 05 PRECINCT 21,5,21,340,45,385
CITY OF CHICAGO:WARD 05 PRECINCT 22,CITY OF CHICAGO:WARD 05 PRECINCT 22,5,22,442,51,493
CITY OF CHICAGO:WARD 05 PRECINCT 23,CITY OF CHICAGO:WARD 05 PRECINCT 23,5,23,222,35,257
CITY OF CHICAGO:WARD 05 PRECINCT 24,CITY OF CHICAGO:WARD 05 PRECINCT 24,5,24,130,39,169
CITY OF CHICAGO:WARD 05 PRECINCT 25,CITY OF CHICAGO:WARD 05 PRECINCT 25,5,25,529,105,634
CITY OF CHICAGO:WARD 06 PRECINCT 01,CITY OF CHICAGO:WARD 06 PRECINCT 01,6,1,92,26,118
CITY OF CHICAGO:WARD 06 PRECINCT 02,CITY OF CHICAGO:WARD 06 PRECINCT 02,6,2,138,35,173
CITY OF CHICAGO:WARD 06 PRECINCT 03,CITY OF CHICAGO:WARD 06 PRECINCT 03,6,3,31,9,40
CITY OF CHICAGO:WARD 06 PRECINCT 04,CITY OF CHICAGO:WARD 06 PRECINCT 04,6,4,97,20,117
CITY OF CHICAGO:WARD 06 PRECINCT 05,CITY OF CHICAGO:WARD 06 PRECINCT 05,6,5,140,47,187
CITY OF CHICAGO:WARD 06 PRECINCT 06,CITY OF CHICAGO:WARD 06 PRECINCT 06,6,6,120,32,152
CITY OF CHICAGO:WARD 06 PRECINCT 07,CITY OF CHICAGO:WARD 06 PRECINCT 07,6,7,208,28,236
CITY OF CHICAGO:WARD 06 PRECINCT 08,CITY OF CHICAGO:WARD 06 PRECINCT 08,6,8,143,35,178
CITY OF CHICAGO:WARD 06 PRECINCT 09,CITY OF CHICAGO:WARD 06 PRECINCT 09,6,9,304,55,359
CITY OF CHICAGO:WARD 06 PRECINCT 10,CITY OF CHICAGO:WARD 06 PRECINCT 10,6,10,180,43,223
CITY OF CHICAGO:WARD 06 PRECINCT 11,CITY OF CHICAGO:WARD 06 PRECINCT 11,6,11,63,12,75
CITY OF CHICAGO:WARD 06 PRECINCT 12,CITY OF CHICAGO:WARD 06 PRECINCT 12,6,12,196,60,256
CITY OF CHICAGO:WARD 06 PRECINCT 13,CITY OF CHICAGO:WARD 06 PRECINCT 13,6,13,265,77,342
CITY OF CHICAGO:WARD 06 PRECINCT 14,CITY OF CHICAGO:WARD 06 PRECINCT 14,6,14,242,52,294
CITY OF CHICAGO:WARD 06 PRECINCT 15,CITY OF CHICAGO:WARD 06 PRECINCT 15,6,15,258,77,335
CITY OF CHICAGO:WARD 06 PRECINCT 16,CITY OF CHICAGO:WARD 06 PRECINCT 16,6,16,160,34,194
CITY OF CHICAGO:WARD 06 PRECINCT 17,CITY OF CHICAGO:WARD 06 PRECINCT 17,6,17,365,78,443
CITY OF CHICAGO:WARD 06 PRECINCT 18,CITY OF CHICAGO:WARD 06 PRECINCT 18,6,18,364,76,440
CITY OF CHICAGO:WARD 06 PRECINCT 19,CITY OF CHICAGO:WARD 06 PRECINCT 19,6,19,220,46,266
CITY OF CHICAGO:WARD 06 PRECINCT 20,CITY OF CHICAGO:WARD 06 PRECINCT 20,6,20,471,78,549
CITY OF CHICAGO:WARD 06 PRECINCT 21,CITY OF CHICAGO:WARD 06 PRECINCT 21,6,21,307,64,371
CITY OF CHICAGO:WARD 06 PRECINCT 22,CITY OF CHICAGO:WARD 06 PRECINCT 22,6,22,407,73,480
CITY OF CHICAGO:WARD 06 PRECINCT 23,CITY OF CHICAGO:WARD 06 PRECINCT 23,6,23,348,77,425
CITY OF CHICAGO:WARD 06 PRECINCT 24,CITY OF CHICAGO:WARD 06 PRECINCT 24,6,24,367,82,449
CITY OF CHICAGO:WARD 06 PRECINCT 25,CITY OF CHICAGO:WARD 06 PRECINCT 25,6,25,324,54,378
CITY OF CHICAGO:WARD 06 PRECINCT 26,CITY OF CHICAGO:WARD 06 PRECINCT 26,6,26,490,95,585
CITY OF CHICAGO:WARD 06 PRECINCT 27,CITY OF CHICAGO:WARD 06 PRECINCT 27,6,27,445,75,520
CITY OF CHICAGO:WARD 07 PRECINCT 01,CITY OF CHICAGO:WARD 07 PRECINCT 01,7,1,261,68,329
CITY OF CHICAGO:WARD 07 PRECINCT 02,CITY OF CHICAGO:WARD 07 PRECINCT 02,7,2,387,81,468
CITY OF CHICAGO:WARD 07 PRECINCT 03,CITY OF CHICAGO:WARD 07 PRECINCT 03,7,3,175,48,223
CITY OF CHICAGO:WARD 07 PRECINCT 04,CITY OF CHICAGO:WARD 07 PRECINCT 04,7,4,256,58,314
CITY OF CHICAGO:WARD 07 PRECINCT 05,CITY OF CHICAGO:WARD 07 PRECINCT 05,7,5,357,80,437
CITY OF CHICAGO:WARD 07 PRECINCT 06,CITY OF CHICAGO:WARD 07 PRECINCT 06,7,6,75,18,93
CITY OF CHICAGO:WARD 07 PRECINCT 07,CITY OF CHICAGO:WARD 07 PRECINCT 07,7,7,190,47,237
CITY OF CHICAGO:WARD 07 PRECINCT 08,CITY OF CHICAGO:WARD 07 PRECINCT 08,7,8,133,33,166
CITY OF CHICAGO:WARD 07 PRECINCT 09,CITY OF CHICAGO:WARD 07 PRECINCT 09,7,9,154,42,196
CITY OF CHICAGO:WARD 07 PRECINCT 10,CITY OF CHICAGO:WARD 07 PRECINCT 10,7,10,310,67,377
CITY OF CHICAGO:WARD 07 PRECINCT 11,CITY OF CHICAGO:WARD 07 PRECINCT 11,7,11,285,58,343
CITY OF CHICAGO:WARD 07 PRECINCT 12,CITY OF CHICAGO:WARD 07 PRECINCT 12,7,12,317,74,391
CITY OF CHICAGO:WARD 07 PRECINCT 13,CITY OF CHICAGO:WARD 07 PRECINCT 13,7,13,162,43,205
CITY OF CHICAGO:WARD 07 PRECINCT 14,CITY OF CHICAGO:WARD 07 PRECINCT 14,7,14,162,49,211
CITY OF CHICAGO:WARD 07 PRECINCT 15,CITY OF CHICAGO:WARD 07 PRECINCT 15,7,15,307,68,375
CITY OF CHICAGO:WARD 07 PRECINCT 16,CITY OF CHICAGO:WARD 07 PRECINCT 16,7,16,104,26,130
CITY OF CHICAGO:WARD 07 PRECINCT 17,CITY OF CHICAGO:WARD 07 PRECINCT 17,7,17,77,18,95
CITY OF CHICAGO:WARD 07 PRECINCT 18,CITY OF CHICAGO:WARD 07 PRECINCT 18,7,18,55,16,71
CITY OF CHICAGO:WARD 07 PRECINCT 19,CITY OF CHICAGO:WARD 07 PRECINCT 19,7,19,446,76,522
CITY OF CHICAGO:WARD 07 PRECINCT 20,CITY OF CHICAGO:WARD 07 PRECINCT 20,7,20,229,51,280
CITY OF CHICAGO:WARD 07 PRECINCT 21,CITY OF CHICAGO:WARD 07 PRECINCT 21,7,21,162,33,195
CITY OF CHICAGO:WARD 07 PRECINCT 22,CITY OF CHICAGO:WARD 07 PRECINCT 22,7,22,192,25,217
CITY OF CHICAGO:WARD 07 PRECINCT 23,CITY OF CHICAGO:WARD 07 PRECINCT 23,7,23,106,27,133
CITY OF CHICAGO:WARD 07 PRECINCT 24,CITY OF CHICAGO:WARD 07 PRECINCT 24,7,24,36,14,50
CITY OF CHICAGO:WARD 07 PRECINCT 25,CITY OF CHICAGO:WARD 07 PRECINCT 25,7,25,199,50,249
CITY OF CHICAGO:WARD 07 PRECINCT 26,CITY OF CHICAGO:WARD 07 PRECINCT 26,7,26,284,53,337
CITY OF CHICAGO:WARD 07 PRECINCT 27,CITY OF CHICAGO:WARD 07 PRECINCT 27,7,27,174,33,207
CITY OF CHICAGO:WARD 07 PRECINCT 28,CITY OF CHICAGO:WARD 07 PRECINCT 28,7,28,102,19,121
CITY OF CHICAGO:WARD 07 PRECINCT 29,CITY OF CHICAGO:WARD 07 PRECINCT 29,7,29,161,44,205
CITY OF CHICAGO:WARD 07 PRECINCT 30,CITY OF CHICAGO:WARD 07 PRECINCT 30,7,30,148,22,170
CITY OF CHICAGO:WARD 07 PRECINCT 31,CITY OF CHICAGO:WARD 07 PRECINCT 31,7,31,71,17,88
CITY OF CHICAGO:WARD 08 PRECINCT 01,CITY OF CHICAGO:WARD 08 PRECINCT 01,8,1,294,81,375
CITY OF CHICAGO:WARD 08 PRECINCT 02,CITY OF CHICAGO:WARD 08 PRECINCT 02,8,2,131,48,179
CITY OF CHICAGO:WARD 08 PRECINCT 03,CITY OF CHICAGO:WARD 08 PRECINCT 03,8,3,158,25,183
CITY OF CHICAGO:WARD 08 PRECINCT 04,CITY OF CHICAGO:WARD 08 PRECINCT 04,8,4,325,61,386
CITY OF CHICAGO:WARD 08 PRECINCT 05,CITY OF CHICAGO:WARD 08 PRECINCT 05,8,5,207,47,254
CITY OF CHICAGO:WARD 08 PRECINCT 06,CITY OF CHICAGO:WARD 08 PRECINCT 06,8,6,374,70,444
CITY OF CHICAGO:WARD 08 PRECINCT 07,CITY OF CHICAGO:WARD 08 PRECINCT 07,8,7,210,45,255
CITY OF CHICAGO:WARD 08 PRECINCT 08,CITY OF CHICAGO:WARD 08 PRECINCT 08,8,8,478,89,567
CITY OF CHICAGO:WARD 08 PRECINCT 09,CITY OF CHICAGO:WARD 08 PRECINCT 09,8,9,282,52,334
CITY OF CHICAGO:WARD 08 PRECINCT 10,CITY OF CHICAGO:WARD 08 PRECINCT 10,8,10,254,53,307
CITY OF CHICAGO:WARD 08 PRECINCT 11,CITY OF CHICAGO:WARD 08 PRECINCT 11,8,11,258,54,312
CITY OF CHICAGO:WARD 08 PRECINCT 12,CITY OF CHICAGO:WARD 08 PRECINCT 12,8,12,351,63,414
CITY OF CHICAGO:WARD 08 PRECINCT 13,CITY OF CHICAGO:WARD 08 PRECINCT 13,8,13,291,62,353
CITY OF CHICAGO:WARD 08 PRECINCT 14,CITY OF CHICAGO:WARD 08 PRECINCT 14,8,14,335,78,413
CITY OF CHICAGO:WARD 08 PRECINCT 15,CITY OF CHICAGO:WARD 08 PRECINCT 15,8,15,245,52,297
CITY OF CHICAGO:WARD 08 PRECINCT 16,CITY OF CHICAGO:WARD 08 PRECINCT 16,8,16,233,51,284
CITY OF CHICAGO:WARD 08 PRECINCT 17,CITY OF CHICAGO:WARD 08 PRECINCT 17,8,17,406,78,484
CITY OF CHICAGO:WARD 08 PRECINCT 18,CITY OF CHICAGO:WARD 08 PRECINCT 18,8,18,593,113,706
CITY OF CHICAGO:WARD 08 PRECINCT 19,CITY OF CHICAGO:WARD 08 PRECINCT 19,8,19,403,76,479
CITY OF CHICAGO:WARD 08 PRECINCT 20,CITY OF CHICAGO:WARD 08 PRECINCT 20,8,20,180,42,222
CITY OF CHICAGO:WARD 08 PRECINCT 21,CITY OF CHICAGO:WARD 08 PRECINCT 21,8,21,197,49,246
CITY OF CHICAGO:WARD 08 PRECINCT 22,CITY OF CHICAGO:WARD 08 PRECINCT 22,8,22,159,31,190
CITY OF CHICAGO:WARD 08 PRECINCT 23,CITY OF CHICAGO:WARD 08 PRECINCT 23,8,23,430,100,530
CITY OF CHICAGO:WARD 08 PRECINCT 24,CITY OF CHICAGO:WARD 08 PRECINCT 24,8,24,236,59,295
CITY OF CHICAGO:WARD 08 PRECINCT 25,CITY OF CHICAGO:WARD 08 PRECINCT 25,8,25,115,35,150
CITY OF CHICAGO:WARD 08 PRECINCT 26,CITY OF CHICAGO:WARD 08 PRECINCT 26,8,26,192,47,239
CITY OF CHICAGO:WARD 08 PRECINCT 27,CITY OF CHICAGO:WARD 08 PRECINCT 27,8,27,311,53,364
CITY OF CHICAGO:WARD 08 PRECINCT 28,CITY OF CHICAGO:WARD 08 PRECINCT 28,8,28,182,34,216
